5.000000000000000000e-01	3.162277660168379412e-01	0.000000000000000000e+00	-3.000000000000000000e+01	0.000000000000000000e+00
5.999999999999999778e-01	3.162277660168379412e-01	0.000000000000000000e+00	-3.000000000000000000e+01	0.000000000000000000e+00
6.999999999999999556e-01	3.162277660168379412e-01	0.000000000000000000e+00	-3.000000000000000000e+01	0.000000000000000000e+00
7.999999999999999334e-01	3.162271341931301993e-01	1.996002000000008408e-15	-2.999988000000000454e+01	1.685323239999834141e-16
8.999999999999999112e-01	3.162271341931301993e-01	1.774224000000011177e-15	-2.999988000000000454e+01	9.968025599999729851e-17
9.999999999999998890e-01	3.162233432243736209e-01	7.730624160000038713e-14	-2.999916000000000338e+01	4.289516431359755781e-15
1.099999999999999867e+00	3.162170248421169449e-01	4.061927578181836209e-13	-2.999796000000000262e+01	2.007074951616442958e-14
1.199999999999999734e+00	3.162005977223952269e-01	2.482678401333341199e-12	-2.999485999999999919e+01	9.733380826677478100e-14
1.299999999999999822e+00	3.161690048059739855e-01	1.004714240123080609e-11	-2.998885999999999896e+01	4.326607657278947593e-13
1.399999999999999911e+00	3.161115056431827997e-01	3.545909569828584042e-11	-2.997796000000000305e+01	1.361286227854340579e-12
1.499999999999999778e+00	3.160211784042328831e-01	1.352389941770671775e-10	-2.996094000000000079e+01	4.740537747461659599e-12
1.599999999999999645e+00	3.158726604187199749e-01	2.789487603360011382e-10	-2.993291999999999931e+01	9.324143174115935883e-12
1.699999999999999734e+00	3.156566539770704338e-01	9.239086443821206183e-10	-2.989278000000000191e+01	2.688893196600912688e-11
1.799999999999999822e+00	3.153742405460533971e-01	1.878694695467562787e-09	-2.984005000000000152e+01	5.080282035231670955e-11
1.899999999999999689e+00	3.150092144684024653e-01	4.423642995941910606e-09	-2.977233000000000018e+01	1.117969111018660111e-10
1.999999999999999556e+00	3.144556827281071443e-01	7.554540280500028879e-09	-2.967017000000000237e+01	1.743597590912148888e-10
2.099999999999999645e+00	3.138909549509192320e-01	1.309914260358176103e-08	-2.956699000000000055e+01	2.677000831078815609e-10
2.199999999999999734e+00	3.130993746400653754e-01	2.218997636393898966e-08	-2.942316999999999894e+01	4.793641761345740330e-10
2.299999999999999822e+00	3.121048291840419764e-01	4.406956163578520586e-08	-2.924484000000000350e+01	8.406211362436038350e-10
2.399999999999999467e+00	3.110196469678403464e-01	8.148248431617096591e-08	-2.905326000000000164e+01	1.523424568458827675e-09
2.499999999999999556e+00	3.097266123535399873e-01	1.001718497674858201e-07	-2.882445000000000235e+01	1.641724450203598684e-09
2.599999999999999645e+00	3.082568202002998747e-01	1.655865187446160074e-07	-2.856893999999999778e+01	2.549802372105524592e-09
2.699999999999999289e+00	3.066062491209205487e-01	2.467401378960222808e-07	-2.828822000000000259e+01	3.506176368875311622e-09
2.799999999999999378e+00	3.043656294656149619e-01	3.392315002694414346e-07	-2.791347999999999985e+01	4.103120330598414110e-09
2.899999999999999467e+00	3.019785118183079820e-01	5.798897519278424679e-07	-2.751610999999999763e+01	6.380327851931938396e-09
2.999999999999999556e+00	2.991625471211261100e-01	9.039537272623810664e-07	-2.705817000000000050e+01	9.060574557506338226e-09
3.099999999999999645e+00	2.960142665480837709e-01	1.350612131768052733e-06	-2.655644999999999811e+01	1.311251775209017356e-08
3.199999999999999289e+00	2.926338018753130710e-01	1.735361299519952283e-06	-2.603321000000000041e+01	1.437458591552537610e-08
3.299999999999999378e+00	2.886463843528964124e-01	2.850255224896242431e-06	-2.544246000000000052e+01	1.905391624760727456e-08
3.399999999999999467e+00	2.841009940144525459e-01	4.116217810818647701e-06	-2.477926000000000428e+01	2.571171242065862721e-08
3.499999999999999112e+00	2.788219209459685821e-01	8.118287534126024678e-06	-2.403225000000000477e+01	4.594612307057605186e-08
3.599999999999999201e+00	2.733831435915535790e-01	9.675555711970167098e-06	-2.328445999999999927e+01	4.381292137387990081e-08
3.699999999999999289e+00	2.659152466482506694e-01	1.686589434636176797e-05	-2.231643000000000043e+01	6.358536825600395055e-08
3.799999999999999378e+00	2.577509247316098762e-01	3.621991957025679404e-05	-2.129882999999999882e+01	1.105880552296324832e-07
3.899999999999999467e+00	2.486915197589174009e-01	4.726100627467092125e-05	-2.025191999999999837e+01	1.096099448505728126e-07
3.999999999999999112e+00	2.405780098013947932e-01	7.622408563559405527e-05	-1.935698999999999970e+01	1.413735259120243063e-07
4.099999999999999645e+00	2.252311124156695932e-01	2.121282019547124874e-04	-1.781606000000000023e+01	2.350471868132761035e-07
4.199999999999999289e+00	2.078989648843879989e-01	1.267325261890877392e-03	-1.635235000000000127e+01	4.882371808335848409e-07
4.299999999999998934e+00	1.870586667331936293e-01	2.085546482025911561e-03	-1.463566999999999929e+01	5.456768486038455540e-07
4.399999999999998579e+00	1.528637066147488233e-01	1.230643892902044678e+00	-1.254250000000000043e+01	6.451635914855799984e-07
4.499999999999999112e+00	1.248152586825825583e-01	5.386373489173140738e-01	-1.106773000000000096e+01	5.148582771118632896e-07
4.599999999999998757e+00	9.551878977457783915e-02	1.809424837342684111e-01	-9.796400000000000219e+00	2.175104747301204231e-07
4.699999999999999289e+00	7.724787116807814435e-02	7.554103540715526033e-02	-9.044539999999999580e+00	1.163118499796826456e-07
4.799999999999998934e+00	5.337241609670672488e-02	1.650138534930482501e-02	-8.230350000000001387e+00	3.994225231586089768e-08
4.899999999999998579e+00	4.865756261877489386e-02	1.080428597993091273e-02	-7.885160000000000835e+00	3.257487017279878149e-08
