Velocidade Inicial	Angulo (alpha)	Distancia Horizontal Forward	Velociade Final Forward	Valor de g Forward	Distancia Horizontal Backward	Velociade Final Backward	Valor de g Backward
7300	0	2504.7893742381184	16.963719143812966	13.224874454231804	2504.0829042586074	16.96508321620958	13.230162456269863
7400	0	2568.1471408213997	16.963557952969097	13.241976503375394	2567.4315360775468	16.9649937757402	13.247238375200524
7500	1	2531.2344811856474	16.963123505427575	13.463939060834964	2530.494281461365	16.965934064455986	13.469954173967196
7500	0	2632.367156379932	16.963169923088874	13.260168986302924	2631.6422905826344	16.964659987564705	13.263884763371703
7600	1	2593.6076967107247	16.963840266809544	13.481285681489314	2592.857571399234	16.96514662654259	13.486864274863654
7600	0	2697.45362198729	16.96413986849616	13.276800083211999	2696.719494673976	16.96569332358355	13.280496408695829
7700	0	2763.410146939687	16.96342972045056	13.292665096746584	2762.6667548296573	16.965041814204014	13.296340228253817
7700	1	2656.814753632668	16.9644434687933	13.499842675753893	2656.0546130437288	16.965791492979516	13.50377179783403
7700	2	2552.182768223598	16.962970150125912	13.710319956760525	2551.3729406140833	16.96509035774794	13.714974701730984
7800	3	2508.2222050268065	16.963859933064462	13.943469050615146	2507.3141469906545	16.964656746577276	13.948463199360011
7800	1	2720.8581642889767	16.963434049164654	13.51598804219368	2720.0881695659905	16.964831724699504	13.51989325580097
7800	2	2613.4934900542235	16.963496714365988	13.727538858446058	2612.671609010334	16.965651302674743	13.732167597712593
7800	0	2830.2392152122143	16.96426095542861	13.30854093683339	2829.4866777061275	16.965927734614446	13.312194462966369
7900	3	2567.6218615426196	16.963034600682946	13.962347843734136	2566.6981294179736	16.965382500056805	13.967781358425933
7900	2	2675.6067363018833	16.964060256226688	13.746103393018092	2674.7728527077084	16.964667301955878	13.75028131345393
7900	0	2897.9422199964197	16.96361348417446	13.323708883282796	2897.1806777014494	16.96533121389565	13.327338954017353
