Velocidade Inicial	Angulo (alpha)	Distancia Horizontal Forward	Velociade Final Forward	Valor de g Forward	Distancia Horizontal Backward	Velociade Final Backward	Valor de g Backward
7300	0	2504.7893742381184	16.963719143812966	13.224874454231804	2504.0829042586074	16.96508321620958	13.230162456269863
7310	0	2511.0865318573015	16.963875920150418	13.227255609066564	2510.379125746056	16.965241715805167	13.23100448058608
7320	0	2517.3922028436778	16.964017413205035	13.228099694938843	2516.6839359846786	16.965398594226595	13.233381322060406
7330	0	2523.706505829192	16.964169085133133	13.230471452292974	2522.997324106619	16.96555263219121	13.235753402237671
7340	0	2530.0293743938378	16.96431813771696	13.232838443867823	2529.31926487045	16.965703476719884	13.23658305187067
7350	0	2536.3607526650458	16.964452345229354	13.233670189774708	2535.649767671634	16.96585245918778	13.238945753012956
7360	0	2542.7008054698567	16.96303351655254	13.235647536363174	2541.9888432114813	16.965999084097156	13.239767704301077
7370	0	2549.049486811703	16.963174545423758	13.238000513011338	2548.336585867737	16.96457863830819	13.241740056742453
7380	0	2555.4067263617194	16.96330041422905	13.238820436720507	2554.692968088125	16.964719154304774	13.244088761508767
7390	0	2561.7726381767006	16.96343702048522	13.241164154136062	2561.0579091550653	16.964857654913086	13.244898920542155
7400	0	2568.1471408213997	16.963557952969097	13.241976503375394	2567.4315360775468	16.9649937757402	13.247238375200524
7410	0	2574.530324889302	16.96368904371949	13.24431102985065	2573.8137558157773	16.96512685774238	13.248041004701662
7420	0	2580.922065463771	16.963818678345042	13.246640893614497	2580.204604716238	16.965257722315396	13.250371281099742
7430	0	2587.322381527758	16.963933051155482	13.247441235042391	2586.604045976889	16.965386938961466	13.252696897995587
7440	0	2593.7314057824983	16.964057369052686	13.249761994042316	2593.0120971274305	16.965513198844047	13.253487563778739
7450	0	2600.149075021981	16.964179716876206	13.252078144644505	2599.42883973174	16.965636800425436	13.25580409614157
7460	1	2506.517885286033	16.963716562656774	13.4564700126021	2505.7816666548624	16.964943589169238	13.462086382910204
7460	0	2606.575329805556	16.964287106085465	13.252866644329298	2605.854212587779	16.965758886890523	13.258116022108084
7470	0	2613.0103004201965	16.964405112463037	13.25517380728115	2612.288195880931	16.965878537896636	13.258894893408216
7470	1	2512.6846053376626	16.963969009758255	13.459264212557613	2511.9473438614427	16.96519464598449	13.463238380858868
7480	1	2518.859579614922	16.96420597628245	13.460416911253523	2518.1213693926366	16.96544356842534	13.466029371094205
