Velocidade Inicial	Angulo (alpha)	Distancia Horizontal	Velociade Final	Valor de g
7300	0	2504.7893742381184	16.963719143812966	13.224874454231804
7310	0	2511.0865318573015	16.963875920150418	13.227255609066564
7320	0	2517.3922028436778	16.964017413205035	13.228099694938843
7330	0	2523.706505829192	16.964169085133133	13.230471452292974
7340	0	2530.0293743938378	16.96431813771696	13.232838443867823
7350	0	2536.3607526650458	16.964452345229354	13.233670189774708
7360	0	2542.7008054698567	16.96303351655254	13.235647536363174
7370	0	2549.049486811703	16.963174545423758	13.238000513011338
7380	0	2555.4067263617194	16.96330041422905	13.238820436720507
7390	0	2561.7726381767006	16.96343702048522	13.241164154136062
7400	0	2568.1471408213997	16.963557952969097	13.241976503375394
7410	0	2574.530324889302	16.96368904371949	13.24431102985065
7420	0	2580.922065463771	16.963818678345042	13.246640893614497
7430	0	2587.322381527758	16.963933051155482	13.247441235042391
7440	0	2593.7314057824983	16.964057369052686	13.249761994042316
7450	0	2600.149075021981	16.964179716876206	13.252078144644505
7450	1	2500.3595070939073	16.96347473654464	13.455308777691778
7460	1	2506.517885286033	16.963716562656774	13.4564700126021
7460	0	2606.575329805556	16.964287106085465	13.252866644329298
7470	0	2613.0103004201965	16.964405112463037	13.25517380728115
7470	1	2512.6846053376626	16.963969009758255	13.459264212557613
7480	1	2518.859579614922	16.96420597628245	13.460416911253523
7480	0	2619.4539170546655	16.962944167036927	13.255576926755007
7490	1	2525.0429161094803	16.96445361686211	13.463201419092687
7490	0	2625.906218878741	16.963057957119165	13.257875210491221
7500	0	2632.367156379932	16.963169923088874	13.260168986302924
7500	1	2531.2344811856474	16.963123505427575	13.463939060834964
7510	1	2537.4344061848665	16.963367490508475	13.466713958695104
7510	0	2638.8366924253364	16.963266694177662	13.260939018853216
7520	0	2645.314983856234	16.96337430517401	13.263223979962756
7520	1	2543.642605436586	16.963595816728873	13.467850152944871
7530	0	2651.8018762381653	16.963467648040027	13.263986922647572
7530	1	2549.8590999287726	16.963822748458792	13.468982835086624
7540	0	2658.297497434832	16.963572300898658	13.266263183180822
7540	1	2556.0839185920345	16.964061581659905	13.471743413210575
7550	1	2562.317032656335	16.964285005139356	13.47286784480394
7550	0	2664.8018309726895	16.963674561352512	13.268535018000511
7560	1	2568.5585509354537	16.962955939127276	13.475213431041379
7560	0	2671.3147839150142	16.96376260373509	13.269286734560286
7570	0	2677.8364693153617	16.963862593540416	13.271549992931956
7570	1	2574.8083170361774	16.96317617540071	13.476330050119916
7580	0	2684.366805142869	16.963947856145843	13.272294841709845
7580	1	2581.0664727239287	16.963407943085254	13.47907193428787
7590	1	2587.3329158688566	16.963624880377665	13.480180485557892
7590	0	2690.905880250607	16.964044277229966	13.27454960633494
